date,month,rainfall_24h,rainfall_3d,rainfall_7d,elevation,river_flow,discharge_next
2015-03-21,3,0.2,0.2,0.2,561.0,6.35,6.28
2015-03-22,3,0.1,0.3,0.3,561.0,6.28,6.28
2015-03-23,3,0.0,0.3,0.3,561.0,6.28,6.21
2015-03-24,3,0.0,0.1,0.3,561.0,6.21,6.16
2015-03-25,3,0.0,0.0,0.3,561.0,6.16,6.1
2015-03-26,3,0.0,0.0,0.3,561.0,6.1,6.1
2015-03-27,3,0.0,0.0,0.3,561.0,6.1,6.1
2015-03-28,3,1.1,1.1,1.2,561.0,6.1,6.41
2015-03-29,3,1.9,3.0,3.0,561.0,6.41,6.91
2015-03-30,3,2.0,5.0,5.0,561.0,6.91,6.85
2015-03-31,3,0.0,3.9,5.0,561.0,6.85,7.04
2015-04-01,4,0.0,2.0,5.0,561.0,7.04,7.0
2015-04-02,4,0.0,0.0,5.0,561.0,7.0,6.87
2015-04-03,4,0.0,0.0,5.0,561.0,6.87,6.78
2015-04-04,4,0.0,0.0,3.9,561.0,6.78,6.74
2015-04-05,4,0.0,0.0,2.0,561.0,6.74,6.73
2015-04-06,4,0.0,0.0,0.0,561.0,6.73,6.66
2015-04-07,4,0.0,0.0,0.0,561.0,6.66,6.62
2015-04-08,4,0.0,0.0,0.0,561.0,6.62,6.59
2015-04-09,4,0.0,0.0,0.0,561.0,6.59,7.18
2015-04-10,4,1.3,1.3,1.3,561.0,7.18,10.75
2015-04-11,4,4.4,5.7,5.7,561.0,10.75,10.19
2015-04-12,4,0.0,5.7,5.7,561.0,10.19,8.75
2015-04-13,4,0.5,4.9,6.2,561.0,8.75,7.97
2015-04-14,4,0.0,0.5,6.2,561.0,7.97,7.57
2015-04-15,4,0.0,0.5,6.2,561.0,7.57,7.32
2015-04-16,4,0.0,0.0,6.2,561.0,7.32,7.15
2015-04-17,4,0.0,0.0,4.9,561.0,7.15,7.0
2015-04-18,4,0.0,0.0,0.5,561.0,7.0,6.87
2015-04-19,4,0.0,0.0,0.5,561.0,6.87,6.82
2015-04-20,4,0.0,0.0,0.0,561.0,6.82,6.78
2015-04-21,4,1.4,1.4,1.4,561.0,6.78,8.35
2015-04-22,4,2.9,4.3,4.3,561.0,8.35,8.25
2015-04-23,4,0.2,4.5,4.5,561.0,8.25,7.65
2015-04-24,4,0.0,3.1,4.5,561.0,7.65,7.28
2015-04-25,4,0.0,0.2,4.5,561.0,7.28,7.09
2015-04-26,4,0.0,0.0,4.5,561.0,7.09,6.94
2015-04-27,4,0.0,0.0,4.5,561.0,6.94,6.82
2015-04-28,4,0.3,0.3,3.4,561.0,6.82,6.73
2015-04-29,4,0.0,0.3,0.5,561.0,6.73,6.66
2015-04-30,4,0.0,0.3,0.3,561.0,6.66,6.73
2015-05-01,5,0.0,0.0,0.3,561.0,6.73,6.73
2015-05-02,5,0.0,0.0,0.3,561.0,6.73,6.73
2015-05-03,5,0.0,0.0,0.3,561.0,6.73,6.73
2015-05-04,5,0.1,0.1,0.4,561.0,6.73,6.91
2015-05-05,5,1.2,1.3,1.3,561.0,6.91,6.91
2015-05-06,5,1.4,2.7,2.7,561.0,6.91,6.87
2015-05-07,5,0.8,3.4,3.5,561.0,6.87,6.82
2015-05-08,5,0.5,2.7,4.0,561.0,6.82,7.13
2015-05-09,5,2.0,3.3,6.0,561.0,7.13,7.05
2015-05-10,5,0.5,3.0,6.5,561.0,7.05,6.85
2015-05-11,5,0.1,2.6,6.5,561.0,6.85,7.81
2015-05-12,5,2.6,3.2,7.9,561.0,7.81,9.84
2015-05-13,5,1.7,4.4,8.2,561.0,9.84,9.19
2015-05-14,5,1.1,5.4,8.5,561.0,9.19,9.16
2015-05-15,5,3.2,6.0,11.2,561.0,9.16,8.77
2015-05-16,5,0.0,4.3,9.2,561.0,8.77,7.97
2015-05-17,5,0.2,3.4,8.9,561.0,7.97,7.43
2015-05-18,5,0.0,0.2,8.8,561.0,7.43,7.15
2015-05-19,5,0.0,0.2,6.2,561.0,7.15,7.0
2015-05-20,5,0.0,0.0,4.5,561.0,7.0,6.91
2015-05-21,5,0.0,0.0,3.4,561.0,6.91,6.82
2015-05-22,5,0.0,0.0,0.2,561.0,6.82,6.78
2015-05-23,5,0.1,0.1,0.3,561.0,6.78,6.78
2015-05-24,5,0.1,0.2,0.2,561.0,6.78,6.74
2015-05-25,5,0.0,0.2,0.2,561.0,6.74,6.73
2015-05-26,5,0.1,0.2,0.3,561.0,6.73,6.69
2015-05-27,5,0.0,0.1,0.3,561.0,6.69,6.66
2015-05-28,5,0.0,0.1,0.3,561.0,6.66,6.85
2015-05-29,5,1.8,1.8,2.1,561.0,6.85,7.32
2015-05-30,5,1.9,3.7,3.9,561.0,7.32,7.24
2015-05-31,5,0.7,4.4,4.5,561.0,7.24,6.82
2015-06-01,6,0.0,2.6,4.5,561.0,6.82,6.53
2015-06-02,6,0.0,0.7,4.4,561.0,6.53,6.41
2015-06-03,6,0.2,0.2,4.6,561.0,6.41,6.28
2015-06-04,6,0.0,0.2,4.6,561.0,6.28,13.69
2015-06-05,6,10.0,10.2,12.8,561.0,13.69,18.59
2015-06-06,6,5.1,15.1,16.0,561.0,18.59,21.96
2015-06-07,6,9.0,24.1,24.3,561.0,21.96,20.83
2015-06-08,6,5.6,19.7,29.9,561.0,20.83,15.98
2015-06-09,6,1.5,16.1,31.4,561.0,15.98,12.3
2015-06-10,6,2.0,9.1,33.2,561.0,12.3,19.14
2015-06-11,6,10.7,14.2,43.9,561.0,19.14,29.13
2015-06-12,6,11.4,24.1,45.3,561.0,29.13,36.15
2015-06-13,6,11.8,33.9,52.0,561.0,36.15,71.44
2015-06-14,6,22.5,45.7,65.5,561.0,71.44,56.15
2015-06-15,6,9.5,43.8,69.4,561.0,56.15,38.9
2015-06-16,6,4.4,36.4,72.3,561.0,38.9,27.91
2015-06-17,6,3.4,17.3,73.7,561.0,27.91,27.77
2015-06-18,6,7.9,15.7,70.9,561.0,27.77,40.69
2015-06-19,6,11.0,22.3,70.5,561.0,40.69,75.21
2015-06-20,6,15.1,34.0,73.8,561.0,75.21,156.4
2015-06-21,6,26.6,52.7,77.9,561.0,156.4,229.14
2015-06-22,6,23.1,64.8,91.5,561.0,229.14,245.04
2015-06-23,6,24.1,73.8,111.2,561.0,245.04,378.31
2015-06-24,6,21.7,68.9,129.5,561.0,378.31,324.84
2015-06-25,6,5.4,51.2,127.0,561.0,324.84,163.06
2015-06-26,6,3.3,30.4,119.3,561.0,163.06,88.54
2015-06-27,6,2.6,11.3,106.8,561.0,88.54,58.57
2015-06-28,6,1.3,7.2,81.5,561.0,58.57,34.73
2015-06-29,6,0.7,4.6,59.1,561.0,34.73,24.76
2015-06-30,6,2.1,4.1,37.1,561.0,24.76,23.38
2015-07-01,7,0.3,3.1,15.7,561.0,23.38,22.23
2015-07-02,7,0.0,2.4,10.3,561.0,22.23,17.58
2015-07-03,7,0.0,0.3,7.0,561.0,17.58,11.65
2015-07-04,7,0.1,0.1,4.5,561.0,11.65,9.07
2015-07-05,7,1.0,1.1,4.2,561.0,9.07,10.75
2015-07-06,7,3.3,4.4,6.8,561.0,10.75,21.23
2015-07-07,7,4.5,8.8,9.2,561.0,21.23,34.48
2015-07-08,7,3.8,11.6,12.7,561.0,34.48,45.03
2015-07-09,7,4.1,12.4,16.8,561.0,45.03,57.88
2015-07-10,7,5.5,13.4,22.3,561.0,57.88,68.34
2015-07-11,7,4.3,13.9,26.5,561.0,68.34,64.01
2015-07-12,7,2.2,12.0,27.7,561.0,64.01,47.87
2015-07-13,7,0.4,6.9,24.8,561.0,47.87,28.72
2015-07-14,7,0.8,3.4,21.1,561.0,28.72,16.14
2015-07-15,7,0.1,1.3,17.4,561.0,16.14,14.1
2015-07-16,7,3.6,4.5,16.9,561.0,14.1,26.99
2015-07-17,7,4.3,8.0,15.7,561.0,26.99,53.7
2015-07-18,7,4.5,12.4,15.9,561.0,53.7,70.78
2015-07-19,7,5.3,14.1,19.0,561.0,70.78,85.1
2015-07-20,7,5.5,15.3,24.1,561.0,85.1,97.4
2015-07-21,7,4.5,15.3,27.8,561.0,97.4,105.41
2015-07-22,7,5.3,15.3,33.0,561.0,105.41,115.68
2015-07-23,7,9.0,18.8,38.4,561.0,115.68,124.31
2015-07-24,7,5.4,19.7,39.5,561.0,124.31,126.06
2015-07-25,7,5.6,20.0,40.6,561.0,126.06,116.49
2015-07-26,7,8.3,19.3,43.6,561.0,116.49,142.22
2015-07-27,7,12.0,25.9,50.1,561.0,142.22,205.06
2015-07-28,7,9.3,29.6,54.9,561.0,205.06,205.06
2015-07-29,7,8.5,29.8,58.1,561.0,205.06,187.36
2015-07-30,7,4.7,22.5,53.8,561.0,187.36,138.32
2015-07-31,7,4.0,17.2,52.4,561.0,138.32,93.84
2015-08-01,8,3.6,12.3,50.4,561.0,93.84,64.01
2015-08-02,8,2.3,9.9,44.4,561.0,64.01,44.71
2015-08-03,8,2.4,8.3,34.8,561.0,44.71,48.09
2015-08-04,8,4.0,8.7,29.5,561.0,48.09,87.92
2015-08-05,8,12.0,18.4,33.0,561.0,87.92,161.55
2015-08-06,8,8.2,24.2,36.5,561.0,161.55,140.25
2015-08-07,8,4.8,25.0,37.3,561.0,140.25,102.75
2015-08-08,8,5.6,18.6,39.3,561.0,102.75,101.33
2015-08-09,8,7.1,17.5,44.1,561.0,101.33,88.74
2015-08-10,8,2.0,14.7,43.7,561.0,88.74,61.52
2015-08-11,8,2.8,11.9,42.5,561.0,61.52,59.95
2015-08-12,8,11.3,16.1,41.8,561.0,59.95,90.2
2015-08-13,8,2.2,16.3,35.8,561.0,90.2,78.07
2015-08-14,8,2.1,15.6,33.1,561.0,78.07,60.94
2015-08-15,8,2.7,7.0,30.2,561.0,60.94,59.39
2015-08-16,8,1.6,6.4,24.7,561.0,59.39,46.42
2015-08-17,8,0.9,5.2,23.6,561.0,46.42,29.55
2015-08-18,8,0.3,2.8,21.1,561.0,29.55,20.18
2015-08-19,8,0.0,1.2,9.8,561.0,20.18,13.52
2015-08-20,8,0.5,0.8,8.1,561.0,13.52,10.91
2015-08-21,8,1.7,2.2,7.7,561.0,10.91,13.83
2015-08-22,8,3.8,6.0,8.8,561.0,13.83,30.41
2015-08-23,8,2.9,8.4,10.1,561.0,30.41,42.05
2015-08-24,8,3.9,10.6,13.1,561.0,42.05,40.88
2015-08-25,8,2.0,8.8,14.8,561.0,40.88,35.9
2015-08-26,8,2.5,8.4,17.3,561.0,35.9,26.99
2015-08-27,8,1.7,6.2,18.5,561.0,26.99,20.73
2015-08-28,8,2.3,6.5,19.1,561.0,20.73,19.7
2015-08-29,8,1.4,5.4,16.7,561.0,19.7,21.28
2015-08-30,8,2.1,5.8,15.9,561.0,21.28,20.18
2015-08-31,8,1.7,5.2,13.7,561.0,20.18,18.72
2015-09-01,9,0.0,3.8,11.7,561.0,18.72,14.85
2015-09-02,9,0.8,2.5,10.0,561.0,14.85,12.12
2015-09-03,9,0.0,0.8,8.3,561.0,12.12,10.38
2015-09-04,9,0.0,0.8,6.0,561.0,10.38,9.35
2015-09-05,9,0.1,0.1,4.7,561.0,9.35,8.82
2015-09-06,9,0.0,0.1,2.6,561.0,8.82,8.59
2015-09-07,9,1.3,1.4,2.2,561.0,8.59,9.3
2015-09-08,9,0.2,1.5,2.4,561.0,9.3,17.45
2015-09-09,9,8.6,10.1,10.2,561.0,17.45,47.98
2015-09-10,9,12.3,21.1,22.5,561.0,47.98,99.46
2015-09-11,9,14.0,34.9,36.5,561.0,99.46,119.78
2015-09-12,9,8.1,34.4,44.5,561.0,119.78,102.04
2015-09-13,9,7.0,29.1,51.5,561.0,102.04,85.9
2015-09-14,9,8.1,23.2,58.3,561.0,85.9,99.69
2015-09-15,9,7.0,22.1,65.1,561.0,99.69,103.23
2015-09-16,9,8.8,23.9,65.3,561.0,103.23,99.46
2015-09-17,9,1.8,17.6,54.8,561.0,99.46,95.83
2015-09-18,9,14.0,24.6,54.8,561.0,95.83,141.23
2015-09-19,9,7.1,22.9,53.8,561.0,141.23,95.83
2015-09-20,9,2.6,23.7,49.4,561.0,95.83,57.34
2015-09-21,9,1.1,10.8,42.4,561.0,57.34,43.16
2015-09-22,9,0.8,4.5,36.2,561.0,43.16,23.6
2015-09-23,9,1.2,3.1,28.6,561.0,23.6,16.91
2015-09-24,9,0.1,2.1,26.9,561.0,16.91,14.52
2015-09-25,9,0.0,1.3,12.9,561.0,14.52,11.97
2015-09-26,9,0.0,0.1,5.8,561.0,11.97,10.27
2015-09-27,9,0.0,0.0,3.2,561.0,10.27,9.45
2015-09-28,9,0.0,0.0,2.1,561.0,9.45,9.05
2015-09-29,9,0.0,0.0,1.3,561.0,9.05,8.84
2015-09-30,9,0.0,0.0,0.1,561.0,8.84,24.06
2015-10-01,10,16.4,16.4,16.4,561.0,24.06,87.92
2015-10-02,10,13.7,30.1,30.1,561.0,87.92,143.54
2015-10-03,10,13.1,43.2,43.2,561.0,143.54,176.01
2015-10-04,10,22.6,49.4,65.8,561.0,176.01,183.5
2015-10-05,10,8.9,44.6,74.7,561.0,183.5,153.17
2015-10-06,10,0.0,31.5,74.7,561.0,153.17,80.66
2015-10-07,10,0.0,8.9,74.7,561.0,80.66,26.86
2015-10-08,10,0.0,0.0,58.3,561.0,26.86,15.67
2015-10-09,10,0.1,0.1,44.7,561.0,15.67,12.24
2015-10-10,10,0.5,0.6,32.1,561.0,12.24,29.9
2015-10-11,10,18.3,18.9,27.8,561.0,29.9,98.77
2015-10-12,10,4.8,23.6,23.7,561.0,98.77,79.72
2015-10-13,10,1.0,24.1,24.7,561.0,79.72,32.65
2015-10-14,10,0.0,5.8,24.7,561.0,32.65,20.88
2015-10-15,10,0.0,1.0,24.7,561.0,20.88,14.63
2015-10-16,10,0.0,0.0,24.6,561.0,14.63,11.59
2015-10-17,10,0.0,0.0,24.1,561.0,11.59,10.27
2015-10-18,10,0.0,0.0,5.8,561.0,10.27,9.67
2015-10-19,10,0.0,0.0,1.0,561.0,9.67,9.33
2015-10-20,10,0.0,0.0,0.0,561.0,9.33,9.14
2015-10-21,10,0.0,0.0,0.0,561.0,9.14,8.98
2015-10-22,10,0.0,0.0,0.0,561.0,8.98,8.82
2015-10-23,10,0.0,0.0,0.0,561.0,8.82,8.75
2015-10-24,10,0.0,0.0,0.0,561.0,8.75,8.73
2015-10-25,10,0.0,0.0,0.0,561.0,8.73,8.71
2015-10-26,10,0.0,0.0,0.0,561.0,8.71,8.66
2015-10-27,10,0.0,0.0,0.0,561.0,8.66,8.62
2015-10-28,10,0.0,0.0,0.0,561.0,8.62,8.57
2015-10-29,10,0.0,0.0,0.0,561.0,8.57,8.53
2015-10-30,10,0.0,0.0,0.0,561.0,8.53,8.48
2015-10-31,10,0.0,0.0,0.0,561.0,8.48,8.4
2015-11-01,11,0.0,0.0,0.0,561.0,8.4,8.35
2015-11-02,11,0.0,0.0,0.0,561.0,8.35,8.31
2015-11-03,11,0.0,0.0,0.0,561.0,8.31,8.33
2015-11-04,11,0.0,0.0,0.0,561.0,8.33,8.46
2015-11-05,11,0.2,0.2,0.2,561.0,8.46,8.64
2015-11-06,11,0.0,0.2,0.2,561.0,8.64,8.66
2015-11-07,11,0.0,0.2,0.2,561.0,8.66,8.62
2015-11-08,11,0.0,0.0,0.2,561.0,8.62,8.59
2015-11-09,11,0.0,0.0,0.2,561.0,8.59,8.57
2015-11-10,11,0.0,0.0,0.2,561.0,8.57,8.55
2015-11-11,11,0.0,0.0,0.2,561.0,8.55,8.51
2015-11-12,11,0.0,0.0,0.0,561.0,8.51,8.46
2015-11-13,11,0.0,0.0,0.0,561.0,8.46,8.46
2015-11-14,11,0.0,0.0,0.0,561.0,8.46,8.33
2015-11-15,11,0.0,0.0,0.0,561.0,8.33,8.1
2015-11-16,11,0.0,0.0,0.0,561.0,8.1,8.02
2015-11-17,11,0.0,0.0,0.0,561.0,8.02,7.95
2015-11-18,11,0.0,0.0,0.0,561.0,7.95,7.87
2015-11-19,11,0.0,0.0,0.0,561.0,7.87,7.85
2015-11-20,11,0.0,0.0,0.0,561.0,7.85,14.38
2015-11-21,11,7.6,7.6,7.6,561.0,14.38,25.85
2015-11-22,11,7.3,14.9,14.9,561.0,25.85,40.4
2015-11-23,11,21.1,36.0,36.0,561.0,40.4,40.78
2015-11-24,11,3.1,31.5,39.1,561.0,40.78,31.28
2015-11-25,11,2.5,26.7,41.6,561.0,31.28,19.0
2015-11-26,11,0.0,5.6,41.6,561.0,19.0,14.14
2015-11-27,11,0.0,2.5,41.6,561.0,14.14,11.71
2015-11-28,11,0.0,0.0,34.0,561.0,11.71,10.32
2015-11-29,11,0.0,0.0,26.7,561.0,10.32,9.52
2015-11-30,11,0.0,0.0,5.6,561.0,9.52,8.66
2015-12-01,12,0.0,0.0,2.5,561.0,8.66,8.29
2015-12-02,12,0.0,0.0,0.0,561.0,8.29,8.12
2015-12-03,12,0.0,0.0,0.0,561.0,8.12,7.95
2015-12-04,12,0.0,0.0,0.0,561.0,7.95,7.83
2015-12-05,12,0.0,0.0,0.0,561.0,7.83,7.69
2015-12-06,12,0.0,0.0,0.0,561.0,7.69,7.57
2015-12-07,12,0.0,0.0,0.0,561.0,7.57,7.49
2015-12-08,12,0.0,0.0,0.0,561.0,7.49,7.41
2015-12-09,12,0.0,0.0,0.0,561.0,7.41,7.34
2015-12-10,12,0.0,0.0,0.0,561.0,7.34,7.34
2015-12-11,12,0.0,0.0,0.0,561.0,7.34,7.26
2015-12-12,12,0.0,0.0,0.0,561.0,7.26,7.2
2015-12-13,12,0.0,0.0,0.0,561.0,7.2,7.15
2015-12-14,12,0.0,0.0,0.0,561.0,7.15,7.13
2015-12-15,12,0.0,0.0,0.0,561.0,7.13,7.11
2015-12-16,12,0.0,0.0,0.0,561.0,7.11,7.05
2015-12-17,12,0.0,0.0,0.0,561.0,7.05,6.96
2015-12-18,12,0.0,0.0,0.0,561.0,6.96,6.87
2015-12-19,12,0.0,0.0,0.0,561.0,6.87,6.91
2015-12-20,12,0.0,0.0,0.0,561.0,6.91,6.98
2015-12-21,12,0.0,0.0,0.0,561.0,6.98,7.02
2015-12-22,12,0.0,0.0,0.0,561.0,7.02,7.07
2015-12-23,12,0.0,0.0,0.0,561.0,7.07,7.05
2015-12-24,12,0.0,0.0,0.0,561.0,7.05,7.02
2015-12-25,12,0.0,0.0,0.0,561.0,7.02,6.96
2015-12-26,12,0.0,0.0,0.0,561.0,6.96,6.89
2015-12-27,12,0.0,0.0,0.0,561.0,6.89,6.8
2015-12-28,12,0.0,0.0,0.0,561.0,6.8,6.78
2015-12-29,12,0.0,0.0,0.0,561.0,6.78,6.83
2015-12-30,12,0.0,0.0,0.0,561.0,6.83,6.87
2015-12-31,12,0.0,0.0,0.0,561.0,6.87,6.78
2016-01-01,1,0.0,0.0,0.0,561.0,6.78,6.74
2016-01-02,1,0.0,0.0,0.0,561.0,6.74,6.73
2016-01-03,1,0.0,0.0,0.0,561.0,6.73,6.69
2016-01-04,1,0.0,0.0,0.0,561.0,6.69,6.66
2016-01-05,1,0.0,0.0,0.0,561.0,6.66,6.64
2016-01-06,1,0.0,0.0,0.0,561.0,6.64,6.66
2016-01-07,1,0.0,0.0,0.0,561.0,6.66,6.67
2016-01-08,1,0.0,0.0,0.0,561.0,6.67,6.67
2016-01-09,1,0.0,0.0,0.0,561.0,6.67,6.62
2016-01-10,1,0.0,0.0,0.0,561.0,6.62,6.57
2016-01-11,1,0.0,0.0,0.0,561.0,6.57,6.53
2016-01-12,1,0.0,0.0,0.0,561.0,6.53,6.55
2016-01-13,1,0.0,0.0,0.0,561.0,6.55,6.53
2016-01-14,1,0.0,0.0,0.0,561.0,6.53,6.46
2016-01-15,1,0.0,0.0,0.0,561.0,6.46,6.55
2016-01-16,1,0.1,0.1,0.1,561.0,6.55,6.62
2016-01-17,1,0.0,0.1,0.1,561.0,6.62,6.59
2016-01-18,1,0.0,0.1,0.1,561.0,6.59,6.5
2016-01-19,1,0.0,0.0,0.1,561.0,6.5,6.41
2016-01-20,1,0.0,0.0,0.1,561.0,6.41,6.33
2016-01-21,1,0.0,0.0,0.1,561.0,6.33,6.26
2016-01-22,1,0.0,0.0,0.1,561.0,6.26,6.19
2016-01-23,1,0.0,0.0,0.0,561.0,6.19,6.14
2016-01-24,1,0.0,0.0,0.0,561.0,6.14,6.16
2016-01-25,1,0.0,0.0,0.0,561.0,6.16,6.19
2016-01-26,1,0.0,0.0,0.0,561.0,6.19,6.16
2016-01-27,1,0.0,0.0,0.0,561.0,6.16,6.1
2016-01-28,1,0.0,0.0,0.0,561.0,6.1,6.05
2016-01-29,1,0.0,0.0,0.0,561.0,6.05,6.03
2016-01-30,1,0.0,0.0,0.0,561.0,6.03,6.05
2016-01-31,1,0.0,0.0,0.0,561.0,6.05,6.64
2016-02-01,2,0.0,0.0,0.0,561.0,6.64,6.76
2016-02-02,2,0.0,0.0,0.0,561.0,6.76,6.73
2016-02-03,2,0.0,0.0,0.0,561.0,6.73,6.73
2016-02-04,2,0.0,0.0,0.0,561.0,6.73,6.67
2016-02-05,2,0.0,0.0,0.0,561.0,6.67,6.67
2016-02-06,2,0.0,0.0,0.0,561.0,6.67,6.73
2016-02-07,2,0.0,0.0,0.0,561.0,6.73,6.74
2016-02-08,2,0.0,0.0,0.0,561.0,6.74,6.71
2016-02-09,2,0.0,0.0,0.0,561.0,6.71,6.74
2016-02-10,2,0.0,0.0,0.0,561.0,6.74,6.8
2016-02-11,2,0.0,0.0,0.0,561.0,6.8,6.78
2016-02-12,2,0.0,0.0,0.0,561.0,6.78,6.73
2016-02-13,2,0.0,0.0,0.0,561.0,6.73,6.69
2016-02-14,2,0.0,0.0,0.0,561.0,6.69,6.66
2016-02-15,2,0.0,0.0,0.0,561.0,6.66,6.55
2016-02-16,2,0.0,0.0,0.0,561.0,6.55,6.45
2016-02-17,2,0.0,0.0,0.0,561.0,6.45,6.4
2016-02-18,2,0.0,0.0,0.0,561.0,6.4,6.45
2016-02-19,2,0.0,0.0,0.0,561.0,6.45,6.5
2016-02-20,2,0.0,0.0,0.0,561.0,6.5,6.45
2016-02-21,2,0.2,0.2,0.2,561.0,6.45,6.43
2016-02-22,2,0.0,0.2,0.2,561.0,6.43,6.41
2016-02-23,2,0.0,0.2,0.2,561.0,6.41,6.45
2016-02-24,2,0.0,0.0,0.2,561.0,6.45,6.43
2016-02-25,2,0.0,0.0,0.2,561.0,6.43,6.43
2016-02-26,2,0.0,0.0,0.2,561.0,6.43,6.45
2016-02-27,2,0.0,0.0,0.2,561.0,6.45,6.64
2016-02-28,2,0.5,0.5,0.5,561.0,6.64,7.49
2016-02-29,2,3.2,3.7,3.7,561.0,7.49,8.53
2016-03-01,3,3.0,6.7,6.7,561.0,8.53,10.72
2016-03-02,3,3.4,9.6,10.1,561.0,10.72,9.99
2016-03-03,3,0.9,7.3,11.0,561.0,9.99,9.0
